2018-03-18 23:24:02:INFO: SecondCandleClose:'1228969', BBUp:'1229504', BBLow:'1228865', RSI: '29', ARUp:'7', ARDown:'92'
2018-03-18 23:25:01:INFO: SecondCandleClose:'1228935', BBUp:'1229495', BBLow:'1228824', RSI: '28', ARUp:'14', ARDown:'85'
2018-03-18 23:26:02:INFO: SecondCandleClose:'1228970', BBUp:'1229445', BBLow:'1228802', RSI: '16', ARUp:'7', ARDown:'78'
2018-03-18 23:27:01:INFO: SecondCandleClose:'1228927', BBUp:'1229385', BBLow:'1228802', RSI: '21', ARUp:'7', ARDown:'100'
2018-03-18 23:28:01:INFO: SecondCandleClose:'1228941', BBUp:'1229316', BBLow:'1228806', RSI: '20', ARUp:'7', ARDown:'92'
2018-03-18 23:29:02:INFO: SecondCandleClose:'1229049', BBUp:'1229277', BBLow:'1228800', RSI: '26', ARUp:'7', ARDown:'85'
2018-03-18 23:30:02:INFO: SecondCandleClose:'1228964', BBUp:'1229244', BBLow:'1228812', RSI: '39', ARUp:'7', ARDown:'78'
2018-03-18 23:31:02:INFO: SecondCandleClose:'1228970', BBUp:'1229212', BBLow:'1228813', RSI: '36', ARUp:'21', ARDown:'71'
2018-03-18 23:32:02:INFO: SecondCandleClose:'1228970', BBUp:'1229166', BBLow:'1228827', RSI: '35', ARUp:'14', ARDown:'64'
2018-03-18 23:33:01:INFO: SecondCandleClose:'1228941', BBUp:'1229078', BBLow:'1228880', RSI: '33', ARUp:'7', ARDown:'57'
2018-03-18 23:34:02:INFO: SecondCandleClose:'1228928', BBUp:'1229045', BBLow:'1228891', RSI: '38', ARUp:'7', ARDown:'50'
2018-03-18 23:35:01:INFO: SecondCandleClose:'1228902', BBUp:'1229046', BBLow:'1228885', RSI: '46', ARUp:'7', ARDown:'42'
2018-03-18 23:36:02:INFO: SecondCandleClose:'1228944', BBUp:'1229051', BBLow:'1228871', RSI: '43', ARUp:'64', ARDown:'100'
2018-03-18 23:37:01:INFO: SecondCandleClose:'1228960', BBUp:'1229032', BBLow:'1228876', RSI: '41', ARUp:'57', ARDown:'92'
2018-03-18 23:38:01:INFO: SecondCandleClose:'1229051', BBUp:'1229031', BBLow:'1228876', RSI: '49', ARUp:'50', ARDown:'85'
2018-03-18 23:39:01:INFO: SecondCandleClose:'1228969', BBUp:'1229058', BBLow:'1228866', RSI: '61', ARUp:'42', ARDown:'78'
2018-03-18 23:40:02:INFO: SecondCandleClose:'1229033', BBUp:'1229058', BBLow:'1228866', RSI: '49', ARUp:'35', ARDown:'71'
2018-03-18 23:41:02:INFO: SecondCandleClose:'1228874', BBUp:'1229072', BBLow:'1228869', RSI: '59', ARUp:'28', ARDown:'64'
2018-03-18 23:42:02:INFO: SecondCandleClose:'1228899', BBUp:'1229082', BBLow:'1228849', RSI: '45', ARUp:'21', ARDown:'57'
2018-03-18 23:43:02:INFO: SecondCandleClose:'1228799', BBUp:'1229085', BBLow:'1228797', RSI: '37', ARUp:'7', ARDown:'100'
2018-03-18 23:44:02:INFO: SecondCandleClose:'1228764', BBUp:'1229085', BBLow:'1228797', RSI: '37', ARUp:'7', ARDown:'100'
2018-03-18 23:45:01:INFO: SecondCandleClose:'1228597', BBUp:'1229104', BBLow:'1228747', RSI: '34', ARUp:'57', ARDown:'100'
2018-03-18 23:46:02:INFO: SecondCandleClose:'1228575', BBUp:'1229162', BBLow:'1228631', RSI: '28', ARUp:'50', ARDown:'100'
2018-03-18 23:47:01:INFO: SecondCandleClose:'1228648', BBUp:'1229196', BBLow:'1228541', RSI: '28', ARUp:'42', ARDown:'100'
2018-03-18 23:48:02:INFO: SecondCandleClose:'1228628', BBUp:'1229198', BBLow:'1228496', RSI: '34', ARUp:'35', ARDown:'92'
2018-03-18 23:49:01:INFO: SecondCandleClose:'1228638', BBUp:'1229198', BBLow:'1228453', RSI: '34', ARUp:'28', ARDown:'85'
2018-03-18 23:50:02:INFO: SecondCandleClose:'1228562', BBUp:'1229183', BBLow:'1228422', RSI: '32', ARUp:'21', ARDown:'78'
2018-03-18 23:51:02:INFO: SecondCandleClose:'1228659', BBUp:'1229163', BBLow:'1228380', RSI: '28', ARUp:'14', ARDown:'71'
2018-03-18 23:52:02:INFO: SecondCandleClose:'1228588', BBUp:'1229091', BBLow:'1228392', RSI: '28', ARUp:'7', ARDown:'64'
2018-03-18 23:53:02:INFO: SecondCandleClose:'1228580', BBUp:'1229038', BBLow:'1228386', RSI: '29', ARUp:'7', ARDown:'57'
2018-03-18 23:54:02:INFO: SecondCandleClose:'1228583', BBUp:'1228934', BBLow:'1228421', RSI: '23', ARUp:'7', ARDown:'50'
2018-03-18 23:55:02:INFO: SecondCandleClose:'1228602', BBUp:'1228881', BBLow:'1228429', RSI: '29', ARUp:'7', ARDown:'42'
2018-03-18 23:56:01:INFO: SecondCandleClose:'1228636', BBUp:'1228792', BBLow:'1228472', RSI: '28', ARUp:'14', ARDown:'35'
2018-03-18 23:57:02:INFO: SecondCandleClose:'1228752', BBUp:'1228736', BBLow:'1228503', RSI: '37', ARUp:'7', ARDown:'28'
2018-03-18 23:58:01:INFO: SecondCandleClose:'1228852', BBUp:'1228730', BBLow:'1228507', RSI: '49', ARUp:'7', ARDown:'21'
2018-03-18 23:59:02:INFO: SecondCandleClose:'1228786', BBUp:'1228817', BBLow:'1228459', RSI: '69', ARUp:'100', ARDown:'14'
2018-03-19 00:00:01:INFO: SecondCandleClose:'1228781', BBUp:'1228849', BBLow:'1228460', RSI: '65', ARUp:'100', ARDown:'7'
2018-03-19 00:01:01:INFO: SecondCandleClose:'1228888', BBUp:'1228873', BBLow:'1228456', RSI: '60', ARUp:'92', ARDown:'28'
2018-03-19 00:02:02:INFO: SecondCandleClose:'1228965', BBUp:'1228932', BBLow:'1228438', RSI: '68', ARUp:'100', ARDown:'21'
2018-03-19 00:03:02:INFO: SecondCandleClose:'1228925', BBUp:'1229007', BBLow:'1228413', RSI: '70', ARUp:'100', ARDown:'14'
2018-03-19 00:04:02:INFO: SecondCandleClose:'1228768', BBUp:'1229044', BBLow:'1228431', RSI: '74', ARUp:'100', ARDown:'7'
2018-03-19 00:05:02:INFO: SecondCandleClose:'1228970', BBUp:'1229048', BBLow:'1228444', RSI: '56', ARUp:'92', ARDown:'7'
2018-03-19 10:53:31:INFO: Create connection.
2018-03-19 10:53:37:INFO: Successfully connected.
2018-03-19 10:53:37:INFO: Create signalers.
2018-03-19 10:53:37:INFO: Create traders.
2018-03-19 10:53:38:INFO: CandleClose:'1228690', BBUp:'1228919', BBLow:'1228465', RSI: '53', ARUp:'35', ARDown:'100'
2018-03-19 10:53:38:INFO: CandleClose:'1228675', BBUp:'1228913', BBLow:'1228486', RSI: '53', ARUp:'28', ARDown:'92'
2018-03-19 10:53:38:INFO: CandleClose:'1228990', BBUp:'1228994', BBLow:'1228466', RSI: '62', ARUp:'21', ARDown:'85'
2018-03-19 10:53:38:INFO: CandleClose:'1228785', BBUp:'1228983', BBLow:'1228469', RSI: '48', ARUp:'100', ARDown:'78'
2018-03-19 10:53:38:INFO: CandleClose:'1228785', BBUp:'1228991', BBLow:'1228472', RSI: '52', ARUp:'92', ARDown:'71'
2018-03-19 10:53:38:INFO: CandleClose:'1228790', BBUp:'1228999', BBLow:'1228478', RSI: '53', ARUp:'85', ARDown:'64'
2018-03-19 10:53:38:INFO: CandleClose:'1228790', BBUp:'1229005', BBLow:'1228480', RSI: '52', ARUp:'78', ARDown:'57'
2018-03-19 10:53:38:INFO: CandleClose:'1228835', BBUp:'1229014', BBLow:'1228479', RSI: '52', ARUp:'71', ARDown:'50'
2018-03-19 10:53:38:INFO: CandleClose:'1228845', BBUp:'1229030', BBLow:'1228487', RSI: '55', ARUp:'64', ARDown:'42'
2018-03-19 10:53:38:INFO: CandleClose:'1228875', BBUp:'1229044', BBLow:'1228484', RSI: '53', ARUp:'57', ARDown:'35'
2018-03-19 10:53:38:INFO: CandleClose:'1228725', BBUp:'1229044', BBLow:'1228486', RSI: '50', ARUp:'50', ARDown:'28'
2018-03-19 10:53:38:INFO: CandleClose:'1228735', BBUp:'1229044', BBLow:'1228489', RSI: '50', ARUp:'100', ARDown:'21'
2018-03-19 10:53:38:INFO: CandleClose:'1228730', BBUp:'1228975', BBLow:'1228601', RSI: '63', ARUp:'92', ARDown:'14'
2018-03-19 10:53:38:INFO: CandleClose:'1228725', BBUp:'1228971', BBLow:'1228610', RSI: '52', ARUp:'85', ARDown:'7'
2018-03-19 10:53:38:INFO: CandleClose:'1228720', BBUp:'1228965', BBLow:'1228624', RSI: '52', ARUp:'78', ARDown:'7'
2018-03-19 10:53:38:INFO: CandleClose:'1228750', BBUp:'1228888', BBLow:'1228663', RSI: '26', ARUp:'71', ARDown:'21'
2018-03-19 10:53:38:INFO: CandleClose:'1228740', BBUp:'1228887', BBLow:'1228658', RSI: '42', ARUp:'64', ARDown:'14'
2018-03-19 10:53:38:INFO: CandleClose:'1228740', BBUp:'1228885', BBLow:'1228653', RSI: '42', ARUp:'57', ARDown:'7'
2018-03-19 10:53:38:INFO: CandleClose:'1228725', BBUp:'1228882', BBLow:'1228646', RSI: '39', ARUp:'50', ARDown:'50'
2018-03-19 10:53:38:INFO: CandleClose:'1228725', BBUp:'1228878', BBLow:'1228640', RSI: '39', ARUp:'42', ARDown:'42'
2018-03-19 10:53:38:INFO: CandleClose:'1228725', BBUp:'1228859', BBLow:'1228641', RSI: '29', ARUp:'35', ARDown:'35'
2018-03-19 10:53:38:INFO: CandleClose:'1228725', BBUp:'1228831', BBLow:'1228651', RSI: '26', ARUp:'28', ARDown:'28'
2018-03-19 10:53:38:INFO: CandleClose:'1228715', BBUp:'1228750', BBLow:'1228708', RSI: '16', ARUp:'21', ARDown:'21'
2018-03-19 10:53:38:INFO: CandleClose:'1228715', BBUp:'1228751', BBLow:'1228705', RSI: '44', ARUp:'14', ARDown:'14'
2018-03-19 10:53:38:INFO: CandleClose:'1228695', BBUp:'1228755', BBLow:'1228695', RSI: '29', ARUp:'7', ARDown:'7'
2018-03-19 10:53:38:INFO: CandleClose:'1228860', BBUp:'1228822', BBLow:'1228647', RSI: '75', ARUp:'35', ARDown:'100'
2018-03-19 10:53:38:INFO: CandleClose:'1228785', BBUp:'1228832', BBLow:'1228647', RSI: '59', ARUp:'100', ARDown:'92'
2018-03-19 10:53:38:INFO: CandleClose:'1228835', BBUp:'1228856', BBLow:'1228641', RSI: '65', ARUp:'100', ARDown:'85'
2018-03-19 10:53:38:INFO: CandleClose:'1228895', BBUp:'1228899', BBLow:'1228620', RSI: '67', ARUp:'92', ARDown:'78'
2018-03-19 10:53:38:INFO: CandleClose:'1228820', BBUp:'1228909', BBLow:'1228622', RSI: '58', ARUp:'85', ARDown:'71'
2018-03-19 10:53:38:INFO: CandleClose:'1228780', BBUp:'1228912', BBLow:'1228626', RSI: '53', ARUp:'78', ARDown:'64'
2018-03-19 10:53:38:INFO: CandleClose:'1228760', BBUp:'1228911', BBLow:'1228631', RSI: '53', ARUp:'71', ARDown:'57'
2018-03-19 10:53:38:INFO: CandleClose:'1228840', BBUp:'1228922', BBLow:'1228638', RSI: '59', ARUp:'64', ARDown:'50'
2018-03-19 10:53:38:INFO: CandleClose:'1228820', BBUp:'1228926', BBLow:'1228649', RSI: '57', ARUp:'57', ARDown:'42'
2018-03-19 10:53:38:INFO: CandleClose:'1228875', BBUp:'1228941', BBLow:'1228658', RSI: '61', ARUp:'50', ARDown:'35'
2018-03-19 10:53:38:INFO: CandleClose:'1228915', BBUp:'1228960', BBLow:'1228669', RSI: '64', ARUp:'42', ARDown:'28'
2018-03-19 10:53:38:INFO: CandleClose:'1228965', BBUp:'1228990', BBLow:'1228678', RSI: '66', ARUp:'35', ARDown:'21'
2018-03-19 10:53:38:INFO: CandleClose:'1228800', BBUp:'1228971', BBLow:'1228713', RSI: '55', ARUp:'100', ARDown:'14'
2018-03-19 10:53:38:INFO: CandleClose:'1228650', BBUp:'1228999', BBLow:'1228652', RSI: '38', ARUp:'92', ARDown:'7'
2018-03-19 10:53:38:INFO: CandleClose:'1228725', BBUp:'1229004', BBLow:'1228638', RSI: '46', ARUp:'85', ARDown:'100'
2018-03-19 10:53:38:INFO: CandleClose:'1228890', BBUp:'1229013', BBLow:'1228638', RSI: '52', ARUp:'78', ARDown:'100'
2018-03-19 10:53:38:INFO: CandleClose:'1228915', BBUp:'1229018', BBLow:'1228636', RSI: '51', ARUp:'71', ARDown:'92'
2018-03-19 10:53:38:INFO: CandleClose:'1228910', BBUp:'1229031', BBLow:'1228637', RSI: '55', ARUp:'64', ARDown:'85'
2018-03-19 10:53:38:INFO: CandleClose:'1228800', BBUp:'1229031', BBLow:'1228640', RSI: '51', ARUp:'57', ARDown:'78'
2018-03-19 10:53:38:INFO: CandleClose:'1228840', BBUp:'1229030', BBLow:'1228653', RSI: '54', ARUp:'50', ARDown:'71'
2018-03-19 10:53:38:INFO: CandleClose:'1228870', BBUp:'1229033', BBLow:'1228654', RSI: '51', ARUp:'42', ARDown:'64'
2018-03-19 10:53:38:INFO: CandleClose:'1228810', BBUp:'1229033', BBLow:'1228653', RSI: '49', ARUp:'35', ARDown:'57'
2018-03-19 10:53:38:INFO: CandleClose:'1228750', BBUp:'1229030', BBLow:'1228636', RSI: '43', ARUp:'28', ARDown:'50'
